ID,_wp_attached_file,Title,"Parent Slug",Permalink,Excerpt,Date,_wp_attachment_image_alt,_wp_attachment_metadata,_wp_attachment_context,Slug
3620,kreuzgang2_GünterJentsch©ZMKW-1-scaled.jpg,kreuzgang2_GünterJentsch©ZMKW-1,walkenried/kloster-walkenried,http://kulturimkreis.info/walkenried/kloster-walkenried/kreuzgang2_guenterjentschzmkw-1/,,2020-12-09,,"a:6:{s:5:""width"";i:2560;s:6:""height"";i:1700;s:4:""file"";s:44:""kreuzgang2_GünterJentsch©ZMKW-1-scaled.jpg"";s:5:""sizes"";a:6:{s:6:""medium"";a:4:{s:4:""file"";s:45:""kreuzgang2_GünterJentsch©ZMKW-1-300x199.jpg"";s:5:""width"";i:300;s:6:""height"";i:199;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:46:""kreuzgang2_GünterJentsch©ZMKW-1-1024x680.jpg"";s:5:""width"";i:1024;s:6:""height"";i:680;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:45:""kreuzgang2_GünterJentsch©ZMKW-1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:45:""kreuzgang2_GünterJentsch©ZMKW-1-768x510.jpg"";s:5:""width"";i:768;s:6:""height"";i:510;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""1536x1536"";a:4:{s:4:""file"";s:47:""kreuzgang2_GünterJentsch©ZMKW-1-1536x1020.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1020;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""2048x2048"";a:4:{s:4:""file"";s:47:""kreuzgang2_GünterJentsch©ZMKW-1-2048x1360.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1360;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""4"";s:6:""credit"";s:19:""(C) Guenter Jentsch"";s:6:""camera"";s:10:""NIKON D300"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1390332297"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""12"";s:3:""iso"";s:3:""400"";s:13:""shutter_speed"";s:3:""1.3"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:37:""kreuzgang2_GünterJentsch©ZMKW-1.jpg"";}",,kreuzgang2_guenterjentschzmkw-1
3619,kreuzgang_GünterJentsch©ZMKW-scaled.jpg,Ausstellung,walkenried/kloster-walkenried,http://kulturimkreis.info/walkenried/kloster-walkenried/ausstellung/,Ausstellung,2020-12-09,,"a:6:{s:5:""width"";i:2560;s:6:""height"";i:1714;s:4:""file"";s:41:""kreuzgang_GünterJentsch©ZMKW-scaled.jpg"";s:5:""sizes"";a:6:{s:6:""medium"";a:4:{s:4:""file"";s:42:""kreuzgang_GünterJentsch©ZMKW-300x201.jpg"";s:5:""width"";i:300;s:6:""height"";i:201;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:43:""kreuzgang_GünterJentsch©ZMKW-1024x686.jpg"";s:5:""width"";i:1024;s:6:""height"";i:686;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:42:""kreuzgang_GünterJentsch©ZMKW-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:42:""kreuzgang_GünterJentsch©ZMKW-768x514.jpg"";s:5:""width"";i:768;s:6:""height"";i:514;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""1536x1536"";a:4:{s:4:""file"";s:44:""kreuzgang_GünterJentsch©ZMKW-1536x1028.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1028;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""2048x2048"";a:4:{s:4:""file"";s:44:""kreuzgang_GünterJentsch©ZMKW-2048x1371.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1371;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""4"";s:6:""credit"";s:15:""Günter Jentsch"";s:6:""camera"";s:10:""NIKON D200"";s:7:""caption"";s:11:""Ausstellung"";s:17:""created_timestamp"";s:10:""1204020177"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""12"";s:3:""iso"";s:3:""800"";s:13:""shutter_speed"";s:4:""0.05"";s:5:""title"";s:11:""Ausstellung"";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:34:""kreuzgang_GünterJentsch©ZMKW.jpg"";}",,ausstellung
3618,kapitelsaal_GünterJentsch©ZMKW.jpg,kapitelsaal_GünterJentsch©ZMKW,walkenried/kloster-walkenried,http://kulturimkreis.info/walkenried/kloster-walkenried/kapitelsaal_guenterjentschzmkw/,,2020-12-09,,"a:5:{s:5:""width"";i:2362;s:6:""height"";i:1577;s:4:""file"";s:36:""kapitelsaal_GünterJentsch©ZMKW.jpg"";s:5:""sizes"";a:6:{s:6:""medium"";a:4:{s:4:""file"";s:44:""kapitelsaal_GünterJentsch©ZMKW-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:45:""kapitelsaal_GünterJentsch©ZMKW-1024x684.jpg"";s:5:""width"";i:1024;s:6:""height"";i:684;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:44:""kapitelsaal_GünterJentsch©ZMKW-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:44:""kapitelsaal_GünterJentsch©ZMKW-768x513.jpg"";s:5:""width"";i:768;s:6:""height"";i:513;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""1536x1536"";a:4:{s:4:""file"";s:46:""kapitelsaal_GünterJentsch©ZMKW-1536x1026.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1026;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""2048x2048"";a:4:{s:4:""file"";s:46:""kapitelsaal_GünterJentsch©ZMKW-2048x1367.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1367;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""4"";s:6:""credit"";s:15:""Guenter Jentsch"";s:6:""camera"";s:10:""NIKON D750"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1499861984"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""24"";s:3:""iso"";s:4:""1250"";s:13:""shutter_speed"";s:4:""0.04"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,kapitelsaal_guenterjentschzmkw
3616,kreuzgang2_GünterJentsch©ZMKW-scaled.jpg,kreuzgang2_GünterJentsch©ZMKW,walkenried/kloster-walkenried,http://kulturimkreis.info/walkenried/kloster-walkenried/kreuzgang2_guenterjentschzmkw/,,2020-12-09,,"a:6:{s:5:""width"";i:2560;s:6:""height"";i:1700;s:4:""file"";s:42:""kreuzgang2_GünterJentsch©ZMKW-scaled.jpg"";s:5:""sizes"";a:6:{s:6:""medium"";a:4:{s:4:""file"";s:43:""kreuzgang2_GünterJentsch©ZMKW-300x199.jpg"";s:5:""width"";i:300;s:6:""height"";i:199;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:44:""kreuzgang2_GünterJentsch©ZMKW-1024x680.jpg"";s:5:""width"";i:1024;s:6:""height"";i:680;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:43:""kreuzgang2_GünterJentsch©ZMKW-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:43:""kreuzgang2_GünterJentsch©ZMKW-768x510.jpg"";s:5:""width"";i:768;s:6:""height"";i:510;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""1536x1536"";a:4:{s:4:""file"";s:45:""kreuzgang2_GünterJentsch©ZMKW-1536x1020.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1020;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""2048x2048"";a:4:{s:4:""file"";s:45:""kreuzgang2_GünterJentsch©ZMKW-2048x1360.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1360;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""4"";s:6:""credit"";s:19:""(C) Guenter Jentsch"";s:6:""camera"";s:10:""NIKON D300"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1390332297"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""12"";s:3:""iso"";s:3:""400"";s:13:""shutter_speed"";s:3:""1.3"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:35:""kreuzgang2_GünterJentsch©ZMKW.jpg"";}",,kreuzgang2_guenterjentschzmkw
3612,StadthalleOaH.jpg,StadthalleOaH,osterode-am-harz/stadthalle,http://kulturimkreis.info/osterode-am-harz/stadthalle/stadthalleoah/,????????????????????????????????????,2020-12-09,,"a:5:{s:5:""width"";i:1024;s:6:""height"";i:681;s:4:""file"";s:17:""StadthalleOaH.jpg"";s:5:""sizes"";a:3:{s:6:""medium"";a:4:{s:4:""file"";s:25:""StadthalleOaH-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:25:""StadthalleOaH-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:25:""StadthalleOaH-768x511.jpg"";s:5:""width"";i:768;s:6:""height"";i:511;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:3:""6.3"";s:6:""credit"";s:36:""????????????????????????????????????"";s:6:""camera"";s:8:""NIKON D3"";s:7:""caption"";s:36:""????????????????????????????????????"";s:17:""created_timestamp"";s:10:""1276685906"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""24"";s:3:""iso"";s:3:""200"";s:13:""shutter_speed"";s:7:""0.00625"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,stadthalleoah
3609,osterodeStadtbib_klein.jpg,osterodeStadtbib_klein,osterode-am-harz/stadtbibliothek,http://kulturimkreis.info/osterode-am-harz/stadtbibliothek/osterodestadtbib_klein/,,2020-12-09,,"a:5:{s:5:""width"";i:1181;s:6:""height"";i:886;s:4:""file"";s:26:""osterodeStadtbib_klein.jpg"";s:5:""sizes"";a:4:{s:6:""medium"";a:4:{s:4:""file"";s:34:""osterodeStadtbib_klein-300x225.jpg"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:35:""osterodeStadtbib_klein-1024x768.jpg"";s:5:""width"";i:1024;s:6:""height"";i:768;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:34:""osterodeStadtbib_klein-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:34:""osterodeStadtbib_klein-768x576.jpg"";s:5:""width"";i:768;s:6:""height"";i:576;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""5"";s:6:""credit"";s:0:"""";s:6:""camera"";s:9:""DMC-FZ200"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1557916096"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:3:""5.2"";s:3:""iso"";s:3:""100"";s:13:""shutter_speed"";s:8:""0.000625"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,osterodestadtbib_klein
3605,Rathaus-OHA_CC-BY-Ralf-König.jpg,Rathaus-OHA_CC-BY-Ralf-König,osterode-am-harz/rathaus-osterode-am-harz,http://kulturimkreis.info/osterode-am-harz/rathaus-osterode-am-harz/rathaus-oha_cc-by-ralf-koenig/,,2020-12-09,,"a:5:{s:5:""width"";i:1920;s:6:""height"";i:1280;s:4:""file"";s:33:""Rathaus-OHA_CC-BY-Ralf-König.jpg"";s:5:""sizes"";a:5:{s:6:""medium"";a:4:{s:4:""file"";s:41:""Rathaus-OHA_CC-BY-Ralf-König-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:42:""Rathaus-OHA_CC-BY-Ralf-König-1024x683.jpg"";s:5:""width"";i:1024;s:6:""height"";i:683;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:41:""Rathaus-OHA_CC-BY-Ralf-König-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:41:""Rathaus-OHA_CC-BY-Ralf-König-768x512.jpg"";s:5:""width"";i:768;s:6:""height"";i:512;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""1536x1536"";a:4:{s:4:""file"";s:43:""Rathaus-OHA_CC-BY-Ralf-König-1536x1024.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:2:""11"";s:6:""credit"";s:11:""Ralf Koenig"";s:6:""camera"";s:7:""GFX 50R"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1589460861"";s:9:""copyright"";s:20:""www.rk-fotodesign.de"";s:12:""focal_length"";s:2:""24"";s:3:""iso"";s:3:""100"";s:13:""shutter_speed"";s:6:""0.0125"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,rathaus-oha_cc-by-ralf-koenig
3602,MuseumimRitterhaus-.jpg,MuseumimRitterhaus-,osterode-am-harz/rathaus-osterode-am-harz,http://kulturimkreis.info/osterode-am-harz/rathaus-osterode-am-harz/museumimritterhaus/,,2020-12-09,,"a:5:{s:5:""width"";i:1181;s:6:""height"";i:886;s:4:""file"";s:23:""MuseumimRitterhaus-.jpg"";s:5:""sizes"";a:4:{s:6:""medium"";a:4:{s:4:""file"";s:31:""MuseumimRitterhaus--300x225.jpg"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:32:""MuseumimRitterhaus--1024x768.jpg"";s:5:""width"";i:1024;s:6:""height"";i:768;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:31:""MuseumimRitterhaus--150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:31:""MuseumimRitterhaus--768x576.jpg"";s:5:""width"";i:768;s:6:""height"";i:576;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""4"";s:6:""credit"";s:0:"""";s:6:""camera"";s:9:""DMC-FZ200"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1557916521"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:3:""4.5"";s:3:""iso"";s:3:""100"";s:13:""shutter_speed"";s:7:""0.00125"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,museumimritterhaus
3598,Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode-.jpg,Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode-,osterode-am-harz/jugendgaestehaus,http://kulturimkreis.info/osterode-am-harz/jugendgaestehaus/jugendgaestehaus-osterode-am-harz-c-stadt-osterode/,,2020-12-09,,"a:5:{s:5:""width"";i:1772;s:6:""height"";i:1181;s:4:""file"";s:55:""Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode-.jpg"";s:5:""sizes"";a:5:{s:6:""medium"";a:4:{s:4:""file"";s:63:""Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode--300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:64:""Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode--1024x682.jpg"";s:5:""width"";i:1024;s:6:""height"";i:682;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:63:""Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode--150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:63:""Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode--768x512.jpg"";s:5:""width"";i:768;s:6:""height"";i:512;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""1536x1536"";a:4:{s:4:""file"";s:65:""Jugendgästehaus-Osterode-am-Harz-C-Stadt-Osterode--1536x1024.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:3:""4.8"";s:6:""credit"";s:0:"""";s:6:""camera"";s:12:""FinePixS2Pro"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1150088112"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""38"";s:3:""iso"";s:3:""200"";s:13:""shutter_speed"";s:5:""0.001"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,jugendgaestehaus-osterode-am-harz-c-stadt-osterode
3591,pf_08_iberger_tropfsteinhoehe_lagune.jpg,pf_08_iberger_tropfsteinhoehe_lagune,bad-grund/hoehlenerlebniszentrum-iberger-tropfsteinhoehle,http://kulturimkreis.info/bad-grund/hoehlenerlebniszentrum-iberger-tropfsteinhoehle/pf_08_iberger_tropfsteinhoehe_lagune/,,2020-12-09,,"a:5:{s:5:""width"";i:1181;s:6:""height"";i:784;s:4:""file"";s:40:""pf_08_iberger_tropfsteinhoehe_lagune.jpg"";s:5:""sizes"";a:4:{s:6:""medium"";a:4:{s:4:""file"";s:48:""pf_08_iberger_tropfsteinhoehe_lagune-300x199.jpg"";s:5:""width"";i:300;s:6:""height"";i:199;s:9:""mime-type"";s:10:""image/jpeg"";}s:5:""large"";a:4:{s:4:""file"";s:49:""pf_08_iberger_tropfsteinhoehe_lagune-1024x680.jpg"";s:5:""width"";i:1024;s:6:""height"";i:680;s:9:""mime-type"";s:10:""image/jpeg"";}s:9:""thumbnail"";a:4:{s:4:""file"";s:48:""pf_08_iberger_tropfsteinhoehe_lagune-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";}s:12:""medium_large"";a:4:{s:4:""file"";s:48:""pf_08_iberger_tropfsteinhoehe_lagune-768x510.jpg"";s:5:""width"";i:768;s:6:""height"";i:510;s:9:""mime-type"";s:10:""image/jpeg"";}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:3:""3.5"";s:6:""credit"";s:18:""(C)Guenter Jentsch"";s:6:""camera"";s:10:""NIKON D300"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1358437373"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""18"";s:3:""iso"";s:3:""500"";s:13:""shutter_speed"";s:3:""0.8"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}",,pf_08_iberger_tropfsteinhoehe_lagune
